scheme_code,scheme_name,isin_growth,isin_reinvestment,plan,aum,ter_pct,ter_date,nsdl_scheme_code
129008,Franklin India Banking & PSU Debt Fund - Direct - Growth,INF090I01KR8,,direct,2312850000,,,
129006,Franklin India Banking & PSU Debt Fund - Growth,INF090I01KO5,,unspecified,3013480000,,,
129009,Franklin India Banking and PSU Debt Fund - Direct - IDCW,INF090I01KS6,INF090I01KT4,direct,5754000,,,
129007,Franklin India Banking and PSU Debt Fund - IDCW,INF090I01KP2,INF090I01KQ0,unspecified,5332000,,,
128628,HDFC Banking and PSU Debt Fund - Growth Option,INF179KA1JC4,,unspecified,21191692000,,,
128629,HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,INF179KA1IZ7,,direct,31470260000,,,
128627,HDFC Banking and PSU Debt Fund - IDCW Option,INF179KA1JD2,INF179KA1JE0,unspecified,22357000,,,
128626,HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan,INF179KA1JA8,INF179KA1JB6,direct,18234000,,,
112343,ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW,INF109K01WS5,INF109K01RV9,unspecified,,,,
112344,ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW,INF109K01WR7,INF109K01RU1,unspecified,,,,
130897,ICICI Prudential Banking and PSU Debt Fund - Bonus,INF109KA1B57,,unspecified,,,,
120257,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW,INF109K01Z89,INF109K01Z97,direct,,,,
120256,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth,INF109K010A6,,direct,63228377000,,,
120258,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW,INF109K011A4,INF109K012A2,direct,41304000,,,
120255,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW,INF109K013A0,INF109K014A8,direct,,,,
130950,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus,INF109KA1B40,,direct,,,,
131148,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option,INF109KA1M96,INF109KA1M88,direct,,,,
112342,ICICI Prudential Banking and PSU Debt Fund - Growth,INF109K01RT3,,unspecified,26408818000,,,
116174,ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW,INF109K01YE1,INF109K01YD3,unspecified,64942000,,,
